Temps,CardanExterieur,CardanInterieur
1001,0,-0.17578125
1103,-0.17578125,0
1206,0,-0.17578125
1309,0,0
1413,0,0
1516,0,0
1619,0,0
1722,-0.17578125,0
1824,-0.17578125,0.17578125
1927,0,0.17578125
2029,-0.17578125,0.17578125
2132,-0.17578125,0.17578125
2234,-0.17578125,0.17578125
2338,-0.17578125,0.3515625
2443,-0.17578125,0.3515625
2546,-0.17578125,0.3515625
2649,-0.17578125,0.52734375
2752,-0.17578125,0.52734375
2854,0,0.52734375
2957,-0.17578125,0.52734375
3059,-0.17578125,0.52734375
3162,0,0.52734375
3264,-0.17578125,0.52734375
3368,0,0.52734375
3474,0,0.52734375
3577,0,0.52734375
3680,0,0.52734375
3783,0,0.52734375
3885,0,0.52734375
3988,0,0.3515625
4090,0,0.3515625
4193,0,0.3515625
4295,0.17578125,0.3515625
4399,0,0.3515625
4508,0,0.3515625
4611,0,0.3515625
4714,0,0.3515625
4816,0,0.3515625
4919,0,0.3515625
5021,0,0.3515625
5124,0,0.3515625
5226,0,0.17578125
5329,0,0.3515625
5433,0,0.17578125
5540,0,0.17578125
5643,0,0.17578125
5746,0,0.17578125
5848,0,0.17578125
5951,-0.17578125,0.17578125
6053,0,0.17578125
6156,-0.17578125,0
6259,0,0
6362,0,0
6466,-0.17578125,0.17578125
6570,0,0
6674,-0.17578125,0
6776,0,0
6879,-0.17578125,0
6981,0,0.17578125
7084,0,0.17578125
7186,0,0.17578125
7289,0,0.17578125
7393,-0.17578125,0.17578125
7498,-0.17578125,0.17578125
7602,-0.17578125,0.3515625
7705,0,0.3515625
7810,0,0.3515625
7912,0,0.3515625
8015,0,0.3515625
8117,0,0.3515625
8220,0,0.52734375
8322,0,0.52734375
8426,0,0.52734375
8535,-0.17578125,0.52734375
8638,-0.17578125,0.52734375
8741,-0.17578125,0.52734375
