Temps [ms],Capt. gauche,Capt. droite
0,0,0
103,0,0
206,0,0
308,0,0
411,0,0
514,0,0
617,0,0
720,0,0
822,0,0
925,0,0
1027,0,0
1130,0,0
1232,0,0
1335,0,0
1437,0,0
1540,0,0
1642,0,0
1744,0,0
1846,0,0
1949,0,0
2051,0,0
2154,0,0
2256,0,0
2359,0,0
2461,0,0
2563,0,0
2665,0,0
2766,0,0
2868,0,0
2970,0,0
3072,-4.5703125,0
3173,-4.21875,0
3276,-5.625,0
3378,-6.6796875,0
3481,-13.0078125,0
3583,-18.80859375,0
3686,-20.7421875,0
3788,-23.02734375,0
3890,-25.48828125,0
3992,-27.94921875,0
4094,-29.8828125,0
4196,-37.44140625,0
4297,-41.8359375,0
4399,-49.5703125,0
4501,-55.37109375,0
4603,-59.4140625,0
4706,-62.75390625,0
4808,-64.86328125,0
4910,-68.90625,0
5013,-72.24609375,0
5115,-74.35546875,0
5217,-75.9375,0
5320,-78.57421875,0
5422,-79.27734375,0
5525,-79.27734375,0
5627,-77.6953125,0
5729,-71.54296875,0
5832,-66.796875,0
5934,-62.578125,0
6037,-60.1171875,0
6139,-57.12890625,0
6242,-56.25,0
6344,-56.07421875,0
6447,-56.07421875,0
6548,-56.07421875,0
6650,-56.07421875,0
6752,-56.07421875,0
6853,-56.07421875,0
6955,-56.07421875,0
7057,-56.07421875,0
7159,-58.0078125,0
7261,-58.359375,0
7364,-58.359375,0
7467,-58.359375,0
7569,-58.359375,0
7672,-57.3046875,0
7774,-55.1953125,0
7877,-53.61328125,0
7979,-51.50390625,0
8081,-46.58203125,0
8184,-42.36328125,0
8286,-38.49609375,0
8389,-33.92578125,0
8491,-32.6953125,0
8594,-34.27734375,0
8696,-45.3515625,0
8799,-54.31640625,0
8901,-62.578125,0
9003,-69.2578125,0
9106,-72.421875,0
9208,-76.46484375,0
9311,-79.1015625,0
9413,-82.08984375,0
9516,-86.66015625,0
9618,-102.12890625,0
9721,-106.875,0
9823,-110.91796875,0
9926,-116.015625,0
10028,-124.1015625,0
10130,-129.19921875,0
10233,-134.12109375,0
10335,-142.03125,0
10438,-148.88671875,0
10540,-156.62109375,0
10643,-159.609375,0
10745,-164.1796875,0
10848,-172.6171875,0
10950,-177.01171875,0
11053,-181.93359375,0
11155,-182.8125,0
11258,-182.98828125,0
11360,-183.1640625,0
11463,-183.1640625,0
11565,-183.1640625,0
11668,-183.33984375,0
11770,-183.33984375,0
11873,-183.515625,0
11975,-183.69140625,0
12078,-183.515625,0
12180,-180.52734375,0
12283,-170.68359375,0
12385,-163.30078125,0
12487,-156.62109375,0
12590,-148.88671875,0
12692,-141.50390625,0
12795,-133.06640625,0
12897,-125.859375,0
13000,-121.46484375,0
13102,-117.7734375,0
13205,-115.3125,0
13307,-114.43359375,0
13409,-114.08203125,0
13512,-113.37890625,0
13614,-111.09375,0
13716,-109.6875,0
13819,-109.16015625,0
13921,-109.16015625,0
14024,-108.984375,0
14126,-108.45703125,0
14227,-107.9296875,0
14329,-106.69921875,0
14431,-106.5234375,0
14533,-105.8203125,0
14634,-105.29296875,0
14736,-104.0625,0
14839,-99.4921875,0
14941,-94.04296875,0
15043,-90.87890625,0
15146,-87.71484375,0
15248,-84.7265625,0
15351,-83.14453125,0
15453,-82.08984375,0
15555,-78.22265625,0
15658,-73.828125,0
15760,-72.421875,0
15863,-68.90625,0
15965,-66.796875,0
16067,-64.6875,0
16168,-60.46875,0
16270,-57.48046875,0
16372,-53.96484375,0
16474,-47.4609375,0
16576,-43.76953125,0
16678,-41.1328125,0
16780,-35.15625,0
16883,-31.11328125,0
16985,-26.19140625,0
17088,-22.67578125,0
17190,-20.0390625,0
17293,-14.58984375,0
17395,-8.96484375,0
17496,-5.09765625,0
17598,-1.58203125,0
17700,0.703125,0
17801,2.109375,0
17903,2.4609375,0
18005,4.74609375,0
18107,8.4375,0
18210,12.48046875,0
18312,15.64453125,0
18415,21.09375,0
18517,24.08203125,0
18620,27.59765625,0
18722,30.05859375,0
18825,32.87109375,0
18927,37.44140625,0
19030,40.078125,0
19132,45.703125,0
19234,51.50390625,0
19337,56.42578125,0
19439,65.91796875,0
19542,71.015625,0
19644,74.53125,0
19747,78.57421875,0
19849,86.8359375,0
19952,89.6484375,0
20054,91.40625,0
20156,93.1640625,0
20259,94.21875,0
20361,95.09765625,0
20464,95.2734375,0
20566,95.44921875,0
20669,95.625,0
20771,95.80078125,0
20874,95.9765625,0
20976,95.9765625,0
21079,96.15234375,0
21181,96.15234375,0
21283,96.15234375,0
21384,96.328125,0
21486,96.328125,0
21588,96.328125,0
21690,96.328125,0
21792,96.50390625,0
21893,96.50390625,0
21996,96.50390625,0
22098,96.6796875,0
22201,98.7890625,0
22303,108.28125,0
22406,134.12109375,0
22508,133.59375,0
22611,133.9453125,0
22713,134.82421875,0
22815,136.58203125,0
22918,140.80078125,0
23020,142.3828125,0
23123,146.07421875,0
23225,147.3046875,0
23328,149.0625,0
23430,151.171875,0
23533,152.2265625,0
23635,152.9296875,0
23738,153.10546875,0
23840,153.984375,0
23942,159.9609375,0
24045,162.7734375,0
24147,163.4765625,0
24250,163.828125,0
24352,164.00390625,0
24455,164.00390625,0
24557,164.53125,0
24659,164.70703125,0
24761,165.05859375,0
24863,166.9921875,0
24964,166.81640625,0
25066,169.98046875,0
25168,177.36328125,0
25269,180.3515625,0
25372,180.87890625,0
25474,180.87890625,0
25577,180.87890625,0
25679,182.109375,0
25781,184.21875,0
25884,186.6796875,0
25986,186.6796875,0
26089,184.74609375,0
26191,183.1640625,0
26294,180.3515625,0
26396,158.203125,0
26499,157.8515625,0
26601,155.390625,0
26703,138.8671875,0
26806,123.046875,0
26908,122.6953125,0
27010,121.81640625,0
27113,119.53125,0
27215,109.6875,0
27318,104.0625,0
27420,93.515625,0
27523,90.3515625,0
27625,82.6171875,0
27728,67.32421875,0
27830,65.7421875,0
27932,66.09375,0
28034,67.67578125,0
28135,75.05859375,0
28237,75.05859375,0
28339,75.05859375,0
28441,75.05859375,0
28542,75.05859375,0
28645,75.05859375,0
28747,75.05859375,0
28850,75.05859375,0
28952,75.05859375,0
29055,75.05859375,0
29157,75.05859375,0
29260,75.05859375,0
29362,75.05859375,0
29465,75.05859375,0
29567,75.05859375,0
29669,75.05859375,0
29772,75.05859375,0
29874,75.05859375,0
29977,75.05859375,0
30079,75.05859375,0
30181,75.05859375,0
30284,75.05859375,0
